name,url,test_type,remote_testing,adaptive_irt
Customer Service Phone Simulation,https://www.shl.com/products/product-catalog/view/customer-service-phone-simulation/,"B, S",Yes,No
Customer Service Phone Solution,https://www.shl.com/products/product-catalog/view/customer-service-phone-solution/,"B, P, S",Yes,No
Cyber Risk (New),https://www.shl.com/products/product-catalog/view/cyber-risk-new/,K,Yes,No
Data Entry (New),https://www.shl.com/products/product-catalog/view/data-entry-new/,S,Yes,No
Data Entry Alphanumeric Split Screen - US,https://www.shl.com/products/product-catalog/view/data-entry-alphanumeric-split-screen-us/,K,Yes,No
Data Entry Numeric Split Screen - US,https://www.shl.com/products/product-catalog/view/data-entry-numeric-split-screen-us/,K,Yes,No
Data Entry Ten Key Split Screen,https://www.shl.com/products/product-catalog/view/data-entry-ten-key-split-screen/,K,Yes,No
Data Science (New),https://www.shl.com/products/product-catalog/view/data-science-new/,K,Yes,No
Data Warehousing Concepts,https://www.shl.com/products/product-catalog/view/data-warehousing-concepts/,K,Yes,Yes
Dependability and Safety Instrument (DSI),https://www.shl.com/products/product-catalog/view/dependability-and-safety-instrument-dsi/,P,Yes,No
Dermatology (New),https://www.shl.com/products/product-catalog/view/dermatology-new/,K,Yes,No
Desktop Support (New),https://www.shl.com/products/product-catalog/view/desktop-support-new/,K,Yes,No
Digital Advertising (New),https://www.shl.com/products/product-catalog/view/digital-advertising-new/,K,Yes,No
Digital Readiness Development Report - IC,https://www.shl.com/products/product-catalog/view/digital-readiness-development-report/,P,Yes,No
Digital Readiness Development Report - Manager,https://www.shl.com/products/product-catalog/view/digital-readiness-development-report-manager/,P,Yes,No
Docker (New),https://www.shl.com/products/product-catalog/view/docker-new/,K,Yes,No
Dojo (New),https://www.shl.com/products/product-catalog/view/dojo-new/,K,Yes,No
Drupal (New),https://www.shl.com/products/product-catalog/view/drupal-new/,K,Yes,No
DSI v1.1 Interpretation Report,https://www.shl.com/products/product-catalog/view/dsi-v1-1-interpretation-report/,P,Yes,No
Econometrics (New),https://www.shl.com/products/product-catalog/view/econometrics-new/,K,Yes,No
Economics (New),https://www.shl.com/products/product-catalog/view/economics-new/,K,Yes,No
Electrical and Electronics Engineering (New),https://www.shl.com/products/product-catalog/view/electrical-and-electronics-engineering-new/,K,Yes,No
Electrical Engineering (New),https://www.shl.com/products/product-catalog/view/electrical-engineering-new/,K,Yes,No
Electronics & Telecommunications Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-telecommunications-engineering-new/,K,Yes,No
Electronics and Embedded Systems Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-embedded-systems-engineering-new/,K,Yes,No
Electronics and Semiconductor Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-semiconductor-engineering-new/,K,Yes,No
English Comprehension (New),https://www.shl.com/products/product-catalog/view/english-comprehension-new/,K,Yes,No
Enterprise Java Beans (New),https://www.shl.com/products/product-catalog/view/enterprise-java-beans-new/,K,Yes,No
Enterprise Leadership Report 1.0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report/,P,Yes,No
Enterprise Leadership Report 2.0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report-2-0/,P,Yes,No
Entry Level Cashier Solution,https://www.shl.com/products/product-catalog/view/entry-level-cashier-solution/,"C, P",Yes,No
Entry Level Customer Serv-Retail & Contact Center,https://www.shl.com/products/product-catalog/view/entry-level-customer-serv-retail-and-contact-center/,"P, C",Yes,No
Entry Level Customer Service (General) Solution,https://www.shl.com/products/product-catalog/view/entry-level-customer-service-general-solution/,"C, P",Yes,No
Entry Level Hotel Front Desk Solution,https://www.shl.com/products/product-catalog/view/entry-level-hotel-front-desk-solution/,"C, P",Yes,No
Entry Level Sales Solution,https://www.shl.com/products/product-catalog/view/entry-level-sales-solution/,"C, P",Yes,No
Entry Level Technical Support Solution,https://www.shl.com/products/product-catalog/view/entry-level-technical-support-solution/,"P, C",Yes,No
ETL Testing (New),https://www.shl.com/products/product-catalog/view/etl-testing-new/,K,Yes,No
Executive Scenarios,https://www.shl.com/products/product-catalog/view/executive-scenarios/,B,Yes,No
Executive Scenarios Narrative Report,https://www.shl.com/products/product-catalog/view/executive-scenarios-narrative-report/,B,Yes,No
Executive Scenarios Profile Report,https://www.shl.com/products/product-catalog/view/executive-scenarios-profile-report/,B,Yes,No
ExpressJS (New),https://www.shl.com/products/product-catalog/view/expressjs-new/,K,Yes,No
Filing - Names (R1),https://www.shl.com/products/product-catalog/view/filing-names-r1/,K,Yes,No
Filing - Numbers,https://www.shl.com/products/product-catalog/view/filing-numbers/,K,Yes,No
Financial Accounting (New),https://www.shl.com/products/product-catalog/view/financial-accounting-new/,K,Yes,No
Financial and Banking Services (New),https://www.shl.com/products/product-catalog/view/financial-and-banking-services-new/,K,Yes,No
Fire Engineering (New),https://www.shl.com/products/product-catalog/view/fire-engineering-new/,K,Yes,No
Following Instructions v1 - UK (R1),https://www.shl.com/products/product-catalog/view/following-instructions-v1-uk-r1/,K,Yes,No
Following Instructions v1 - US (R2),https://www.shl.com/products/product-catalog/view/following-instructions-v1-us-r2/,K,Yes,No
Food and Beverage Services (New),https://www.shl.com/products/product-catalog/view/food-and-beverage-services-new/,K,Yes,No
Food Science (New),https://www.shl.com/products/product-catalog/view/food-science-new/,K,Yes,No
Front Office Management (New),https://www.shl.com/products/product-catalog/view/front-office-management-new/,K,Yes,No
Fundamentals of Chemistry (New),https://www.shl.com/products/product-catalog/view/fundamentals-of-chemistry-new/,K,Yes,No
Fundamentals of Physics (New),https://www.shl.com/products/product-catalog/view/fundamentals-of-physics-new/,K,Yes,No
